latitude,longitude,freeboard,segment_length,Thickness (m)
-71.43178921,-39.98143856,0.21,115.27641,0.83
-71.43187991,-39.98147548,0.21,68.57566,0.83
-71.43200399,-39.98152646,0.23,50.169167,0.9
-71.43218466,-39.98160112,0.24,46.647312,0.94
-71.43243648,-39.98170502,0.29,77.819046,1.12
-71.45284508,-39.99000992,0.65,130.63538,2.42
-71.45301064,-39.99007575,0.67,68.76721,2.49
-71.45314091,-39.99012798,0.66,49.516056,2.46
-71.45341646,-39.99024078,0.38,118.53712,1.44
-71.45642077,-39.99147277,0.33,92.45594,1.26
-71.45649655,-39.99150277,0.31,50.68663,1.19
-71.45664385,-39.99156136,0.27,40.044666,1.04
-71.45679643,-39.99162229,0.28,32.978096,1.08
-71.45692842,-39.99167557,0.36,33.58572,1.37
-71.45711826,-39.99175341,0.49,57.235764,1.84
-71.48946586,-40.00496902,0.3,125.9836,1.15
-71.48985015,-40.00512909,0.27,107.94622,1.04
-71.49032221,-40.00532599,0.29,99.94089,1.12
-71.49261923,-40.00625858,0.31,125.602356,1.19
-71.49294598,-40.00639333,0.36,92.78956,1.37
-71.4933341,-40.00655549,0.33,79.86115,1.26
-71.49360755,-40.00667064,0.23,62.475258,0.9
-71.4937934,-40.00674907,0.23,48.375957,0.9
-71.49399395,-40.0068332,0.23,46.9563,0.9
-71.49419944,-40.00691858,0.25,47.62551,0.97
-71.49444649,-40.00701951,0.37,69.41196,1.41
-71.49487993,-40.00719229,0.28,73.339745,1.08
-71.4950674,-40.00726554,0.16,47.183105,0.65
-71.49524966,-40.00733645,0.16,53.601635,0.65
-71.49558935,-40.0074692,0.22,65.7975,0.86
-71.49582134,-40.00756066,0.34,48.32209,1.3
-71.49596741,-40.0076191,0.43,37.110806,1.62
-71.49608472,-40.00766672,0.47,29.356838,1.77
-71.49621033,-40.00771806,0.36,27.229158,1.37
-71.49631333,-40.00776036,0.29,25.080328,1.12
-71.49642802,-40.0078077,0.28,30.091032,1.08
-71.49661284,-40.00788429,0.35,37.912918,1.33
-71.49675708,-40.00794423,0.39,29.996706,1.48
-71.4968581,-40.00798628,0.4,24.243095,1.52
-71.49694595,-40.00802286,0.41,21.368929,1.55
-71.49703699,-40.0080609,0.38,19.931128,1.44
-71.49712254,-40.00809658,0.34,19.146967,1.3
-71.49719966,-40.0081285,0.34,19.046946,1.3
-71.49727876,-40.00816112,0.35,18.317604,1.33
-71.49735581,-40.00819288,0.35,17.586956,1.33
-71.49743249,-40.0082245,0.35,18.266369,1.33
-71.49751504,-40.00825854,0.32,18.244383,1.23
-71.4975981,-40.0082928,0.24,20.325802,0.94
-71.49769724,-40.00833372,0.24,20.312832,0.94
-71.49777946,-40.00836769,0.27,22.393448,1.04
-71.49791236,-40.00842267,0.3,28.673351,1.15
-71.49805626,-40.00848228,0.26,33.56891,1.01
-71.49822533,-40.0085524,0.23,34.974937,0.9
-71.49837329,-40.00861398,0.33,32.22409,1.26
-71.4984965,-40.0086656,0.37,29.49187,1.41
-71.4986131,-40.00871466,0.39,26.005465,1.48
-71.49870788,-40.00875453,0.37,25.328545,1.41
-71.4988342,-40.00880756,0.34,25.351078,1.3
-71.49894179,-40.00885258,0.31,27.491177,1.19
-71.4990877,-40.0089134,0.25,31.050056,0.97
-71.49922266,-40.00896937,0.23,30.376432,0.9
-71.499365,-40.00902805,0.21,31.811043,0.83
-71.49949389,-40.00908096,0.18,30.420202,0.72
